tx_id,payload_size,prompt_length,response_length,sample_index,batch_size,full_bytes,compact_bytes,saved_bytes,byte_reduction_ratio,full_onchain_calldata_total_gas,full_onchain_calldata_amortized_gas,full_onchain_calldata_reduction_ratio,compact_external_da_total_gas,compact_external_da_amortized_gas,compact_external_da_reduction_ratio,compact_eip4844_like_total_gas,compact_eip4844_like_amortized_gas,compact_eip4844_like_reduction_ratio,compact_modular_da_sampling_total_gas,compact_modular_da_sampling_amortized_gas,compact_modular_da_sampling_reduction_ratio
cost-p128-q64-s9,128,64,128,9,1,2033,406,1627,0.8002951303492376,32528.0,32528.0,0.0,10968.6,10968.6,0.6627951303492376,8325.7,8325.7,0.7440451303492376,7410.85,7410.85,0.7721701303492376
cost-p128-q64-s9,128,64,128,9,10,2033,406,1627,0.8002951303492376,32528.0,3252.8,0.0,10968.6,1096.8600000000001,0.6627951303492376,8325.7,832.57,0.7440451303492376,7410.85,741.085,0.7721701303492376
cost-p128-q64-s9,128,64,128,9,100,2033,406,1627,0.8002951303492376,32528.0,325.28,0.0,10968.6,109.686,0.6627951303492376,8325.7,83.257,0.7440451303492376,7410.85,74.1085,0.7721701303492376
cost-p128-q64-s9,128,64,128,9,1000,2033,406,1627,0.8002951303492376,32528.0,32.528,0.0,10968.6,10.9686,0.6627951303492376,8325.7,8.325700000000001,0.7440451303492376,7410.85,7.41085,0.7721701303492376
cost-p128-q64-s10,128,64,128,10,1,1331,406,925,0.6949661908339594,21296.0,21296.0,0.0,9424.2,9424.2,0.5574661908339594,7693.9,7693.9,0.6387161908339595,7094.95,7094.95,0.6668411908339594
cost-p128-q64-s10,128,64,128,10,10,1331,406,925,0.6949661908339594,21296.0,2129.6,0.0,9424.2,942.4200000000001,0.5574661908339594,7693.9,769.39,0.6387161908339595,7094.95,709.495,0.6668411908339594
cost-p128-q64-s10,128,64,128,10,100,1331,406,925,0.6949661908339594,21296.0,212.96,0.0,9424.2,94.242,0.5574661908339594,7693.9,76.939,0.6387161908339595,7094.95,70.9495,0.6668411908339594
cost-p128-q64-s10,128,64,128,10,1000,1331,406,925,0.6949661908339594,21296.0,21.296,0.0,9424.2,9.4242,0.5574661908339594,7693.9,7.693899999999999,0.6387161908339595,7094.95,7.09495,0.6668411908339594
cost-p128-q64-s11,128,64,128,11,1,1507,406,1101,0.7305905773059058,24112.0,24112.0,0.0,9811.4,9811.4,0.5930905773059058,7852.3,7852.3,0.6743405773059058,7174.15,7174.15,0.7024655773059058
cost-p128-q64-s11,128,64,128,11,10,1507,406,1101,0.7305905773059058,24112.0,2411.2,0.0,9811.4,981.14,0.5930905773059058,7852.3,785.23,0.6743405773059058,7174.15,717.415,0.7024655773059058
